         250       31125
 i,   j,   euc(i,j),   man(i,j)
    29   193  4046.075  5512.000
    29   194  2866.584  3793.000
    29   195  4075.597  5676.000
    29   196  3960.133  5273.000
    29   197  4354.563  5656.000
    29   198  4152.495  5715.000
    29   199  5772.771  8003.000
    29   200  5261.325  7401.000
    29   201  4495.066  6322.000
    29   202  3338.614  3402.000
    29   203  4439.119  6022.000
    29   204  4925.268  5218.000
    29   205  1864.682  2471.000
    29   206  5289.974  5491.000
    29   207  4066.558  5619.000
    29   208  4017.909  5560.000
    29   209  5671.701  7947.000
    29   210  1942.736  2612.000
    29   211  4906.816  6931.000
    29   212  5716.535  5914.000
    29   213  4814.971  5223.000
    29   214  2639.649  3353.000
    29   215  4650.930  6389.000
    29   216  3064.557  4257.000
    29   217  1946.241  2676.000
    29   218  3714.758  4234.000
    29   219  3202.212  4509.000
    29   220  5066.204  6915.000
    29   221  5323.880  7510.000
    29   222  4272.310  6034.000
    29   223  5464.659  7550.000
    29   224  4950.442  6990.000
    29   225  5227.893  7304.000
    29   226  3799.059  5140.000
    29   227  4711.923  6610.000
    29   228  2508.989  3355.000
    29   229  3193.409  4428.000
    29   230  5115.780  7234.000
    29   231  3212.370  4259.000
    29   232  6475.050  8611.000
    29   233  4796.359  6768.000
    29   234  5535.788  7483.000
    29   235  5288.229  7400.000
    29   236  3942.785  5512.000
    29   237  2533.358  3579.000
    29   238  5408.090  5843.000
    29   239  3598.692  4037.000
    29   240  4500.840  6243.000
    29   241  5651.096  7971.000
    29   242  4375.239  6172.000
    29   243  4652.267  6574.000
    29   244  2618.103  3647.000
    29   245  4061.680  5461.000
    29   246  4553.354  6392.000
    29   247  4139.248  5596.000
    29   248  4551.941  6286.000
    29   249  1630.782  2300.000
    29   250  2733.160  3782.000
    30    31  1107.482  1394.000
    30    32  1537.594  2174.000
    30    33  2252.481  2493.000
    30    34   945.905  1307.000
    30    35   914.832   953.000
    30    36   813.543  1055.000
    30    37   128.725   182.000
    30    38  1414.390  1664.000
    30    39  1487.807  1848.000
    30    40  1934.235  2508.000
    30    41  1262.490  1692.000
    30    42  1581.341  2016.000
    30    43  1092.227  1504.000
    30    44   326.435   408.000
    30    45  1066.269  1507.000
    30    46   179.176   248.000
    30    47   923.213  1138.000
    30    48   603.941   803.000
    30    49   562.853   662.000
    30    50   249.562   341.000
    30    51  1969.064  2435.000
    30    52   381.084   529.000
    30    53   212.445   275.000
    30    54  2116.753  2933.000
    30    55  1013.018  1417.000
    30    56  1950.420  2757.000
    30    57  1887.077  2210.000
    30    58   382.188   506.000
    30    59   810.912   916.000
    30    60  1579.362  2139.000
    30    61  1153.444  1471.000
    30    62   983.427  1337.000
    30    63  1229.417  1287.000
    30    64  2446.360  2874.000
    30    65   819.078   860.000
    30    66   352.278   390.000
    30    67  1331.258  1853.000
    30    68   418.852   585.000
    30    69  1233.300  1667.000
    30    70  1296.837  1834.000
    30    71  1264.965  1444.000
    30    72  2613.798  3686.000
    30    73   399.180   561.000
    30    74   382.001   535.000
    30    75  1460.600  2045.000
    30    76  3752.028  4547.000
    30    77  2245.081  2877.000
    30    78  4626.801  6478.000
    30    79  3476.744  4570.000
    30    80  5665.032  6756.000
    30    81  6532.982  9059.000
    30    82  3221.183  3949.000
    30    83  3482.638  4413.000
    30    84  3142.329  4268.000
    30    85  2820.823  3881.000
    30    86  4211.609  5898.000
    30    87  2907.907  3712.000
    30    88  3695.483  5226.000
    30    89  3032.112  4250.000
    30    90  1532.069  2107.000
    30    91  1972.489  2101.000
    30    92  4011.324  5622.000
    30    93  2151.134  2973.000
    30    94  3602.294  4976.000
    30    95  2619.104  3626.000
    30    96  2183.623  3032.000
    30    97  5408.773  6595.000
    30    98  3362.788  4246.000
    30    99  5947.784  6295.000
    30   100  2540.763  3194.000
    30   101  3022.286  4192.000
    30   102  5318.272  6351.000
    30   103  2516.314  2993.000
    30   104  3172.535  4475.000
    30   105  2637.869  2758.000
    30   106  3635.537  5028.000
    30   107  2749.143  3843.000
    30   108  3786.229  4995.000
    30   109  2402.553  3278.000
    30   110  1986.620  2674.000
    30   111  1957.816  2273.000
    30   112  1926.272  2681.000
    30   113  3903.947  5179.000
    30   114  2020.686  2674.000
    30   115  5167.643  6336.000
    30   116  3515.154  3931.000
    30   117  6746.615  8822.000
    30   118  6774.456  7983.000
    30   119  3154.669  4238.000
    30   120  4862.306  5440.000
    30   121  3737.285  5250.000
    30   122  3444.462  4711.000
    30   123  4515.883  6362.000
    30   124  2338.954  3089.000
    30   125  1532.069  2107.000
    30   126  4063.939  5370.000
    30   127  3267.540  3876.000
    30   128  2161.052  3016.000
    30   129  1717.875  2419.000
    30   130  4279.399  5746.000
    30   131  3943.433  5462.000
    30   132  6354.584  8662.000
    30   133  4408.359  5075.000
    30   134  3856.927  5311.000
    30   135  4959.239  5874.000
    30   136  2728.931  3124.000
    30   137  4415.700  6121.000
    30   138  3165.124  3558.000
    30   139  2455.996  2553.000
    30   140  3274.269  4496.000
    30   141  3237.026  4226.000
    30   142  3481.855  4549.000
    30   143  6093.757  7248.000
    30   144  3285.932  4643.000
    30   145  2807.518  3967.000
    30   146  1822.467  2539.000
    30   147  4768.158  6510.000
    30   148  2687.313  3767.000
    30   149  3539.904  4972.000
    30   150  1994.183  2443.000
    30   151  2754.157  3892.000
    30   152  2713.383  3827.000
    30   153  5010.808  7032.000
    30   154  2941.452  3339.000
    30   155  6362.866  8506.000
    30   156  2730.794  3857.000
    30   157  3577.541  5002.000
    30   158  4407.827  5124.000
    30   159  4588.234  5594.000
    30   160  3742.016  5187.000
    30   161  4921.633  5188.000
    30   162  2934.550  3811.000
    30   163  3645.323  4991.000
    30   164  2450.297  3465.000
    30   165  4654.299  6470.000
    30   166  5553.568  6972.000
    30   167  2608.634  3689.000
    30   168  3152.803  4413.000
    30   169  5086.997  6626.000
    30   170  4634.784  4926.000
    30   171  4837.790  5336.000
    30   172  5437.268  6917.000
    30   173  2695.405  3609.000
    30   174  2279.018  3157.000
    30   175  1826.980  2505.000
    30   176  6650.024  8431.000
    30   177  3763.951  3952.000
    30   178  1176.310  1641.000
    30   179  2032.939  2836.000
    30   180  1214.602  1700.000
    30   181  2187.808  2623.000
    30   182  1354.974  1466.000
    30   183  1012.107  1292.000
    30   184  4935.991  5317.000
    30   185  4793.354  5587.000
    30   186  1394.963  1921.000
    30   187  2239.276  2867.000
    30   188  1683.559  2338.000
    30   189   621.876   654.000
    30   190   607.961   703.000
    30   191   841.123   976.000
    30   192  1756.955  1916.000
    30   193  1133.795  1528.000
    30   194  2445.372  3453.000
    30   195  1397.008  1692.000
    30   196   916.446  1289.000
    30   197  3366.701  4458.000
    30   198  1312.746  1731.000
    30   199  3831.813  4019.000
    30   200  3118.847  3417.000
    30   201  2519.086  2688.000
    30   202  3868.066  5424.000
    30   203  1451.714  2038.000
    30   204  2029.929  2592.000
    30   205  1323.135  1513.000
    30   206  2572.680  3469.000
    30   207  1286.164  1635.000
    30   208  2518.473  3194.000
    30   209  3561.688  3963.000
    30   210  1275.007  1372.000
    30   211  2670.125  2947.000
    30   212  2820.018  3490.000
    30   213  1876.637  2347.000
    30   214  2628.282  3663.000
    30   215  3052.560  3585.000
    30   216  2013.921  2835.000
    30   217  2099.812  2666.000
    30   218  3633.175  5132.000
    30   219  1191.391  1601.000
    30   220  3447.997  3897.000
    30   221  3080.263  3526.000
    30   222  2195.532  2332.000
    30   223  3619.388  3672.000
    30   224  2726.117  3006.000
    30   225  3244.890  3320.000
    30   226   879.233  1156.000
    30   227  2035.136  2626.000
    30   228  2290.084  3177.000
    30   229  2081.494  2910.000
    30   230  2747.672  3250.000
    30   231   367.496   441.000
    30   232  4888.655  5137.000
    30   233  2633.565  2784.000
    30   234  3932.641  4323.000
    30   235  3263.730  3416.000
    30   236  2295.352  2864.000
    30   237  1345.345  1859.000
    30   238  2443.507  2913.000
    30   239  4329.821  6059.000
    30   240  2806.265  3263.000
    30   241  3365.336  3987.000
    30   242  1910.026  2188.000
    30   243  2213.443  2590.000
    30   244  1896.641  2661.000
    30   245  1058.208  1477.000
    30   246  1915.859  2408.000
    30   247  2879.770  3740.000
    30   248  1688.366  2302.000
    30   249  1954.574  2192.000
    30   250   877.206  1224.000
    31    32  2253.625  2888.000
    31    33  2059.322  2697.000
    31    34  1857.886  2021.000
    31    35  2004.162  2347.000
    31    36  1920.095  2449.000
    31    37   996.109  1212.000
    31    38  1303.817  1824.000
    31    39  2595.088  3242.000
    31    40   831.829  1114.000
    31    41  2363.478  3086.000
    31    42  1907.125  2362.000
    31    43  2183.433  2898.000
    31    44  1150.341  1178.000
    31    45  2103.892  2901.000
    31    46  1167.563  1342.000
    31    47  2030.313  2532.000
    31    48  1603.202  1685.000
    31    49  1667.854  2056.000
    31    50   937.239  1053.000
    31    51  2290.946  2745.000
    31    52  1375.874  1497.000
    31    53   987.265  1119.000
    31    54  1430.470  1539.000
    31    55  1723.463  2131.000
    31    56  2623.101  3471.000
    31    57  2301.099  2890.000
    31    58  1487.820  1900.000
    31    59   338.423   478.000
    31    60   529.181   745.000
    31    61  2260.729  2865.000
    31    62  2081.078  2731.000
    31    63   330.510   455.000
    31    64  1352.654  1480.000
    31    65  1895.571  2170.000
    31    66  1435.694  1704.000
    31    67  2412.386  3247.000
    31    68  1055.417  1487.000
    31    69  2157.059  2381.000
    31    70   590.635   710.000
    31    71  2365.073  2838.000
    31    72  1649.751  2292.000
    31    73  1457.022  1955.000
    31    74   757.034   859.000
    31    75  2101.034  2759.000
    31    76  4437.337  5941.000
    31    77  2539.477  3591.000
    31    78  5096.452  7192.000
    31    79  4288.315  5964.000
    31    80  6644.204  7470.000
    31    81  7432.274 10453.000
    31    82  3935.219  5343.000
    31    83  4422.086  5127.000
    31    84  3524.533  4982.000
    31    85  3638.854  4595.000
    31    86  4932.784  6612.000
    31    87  3686.894  5106.000
    31    88  4711.794  6620.000
    31    89  3558.108  4964.000
    31    90  2621.351  3501.000
    31    91  3029.081  3229.000
    31    92  5069.075  7016.000
    31    93  2660.354  3687.000
    31    94  4681.802  6370.000
    31    95  3698.736  5020.000
    31    96  3130.963  4426.000
    31    97  6371.179  7309.000
    31    98  4470.254  5640.000
    31    99  7025.759  7689.000
    31   100  3310.466  4588.000
    31   101  3491.593  4906.000
    31   102  6297.744  7065.000
    31   103  2648.000  3707.000
    31   104  3746.516  5189.000
    31   105  3695.377  3906.000
    31   106  4066.507  5742.000
    31   107  3272.176  4557.000
    31   108  4054.560  5709.000
    31   109  2844.825  3992.000
    31   110  2878.413  4068.000
    31   111  3058.914  3667.000
    31   112  3003.201  4075.000
    31   113  4183.109  5893.000
    31   114  3123.612  4068.000
    31   115  6126.328  7050.000
    31   116  4109.736  5325.000
    31   117  7622.863  9536.000
    31   118  7759.101  8697.000
    31   119  3501.593  4952.000
    31   120  5883.524  6154.000
    31   121  4790.392  6644.000
    31   122  4332.819  6105.000
    31   123  5038.287  7076.000
    31   124  2693.263  3803.000
    31   125  2621.351  3501.000
    31   126  4942.794  6084.000
    31   127  4263.578  4590.000
    31   128  2713.199  3730.000
    31   129  2718.280  3813.000
    31   130  4581.901  6460.000
    31   131  4856.669  6856.000
    31   132  7150.466  9376.000
    31   133  5415.845  5789.000
    31   134  4261.656  6025.000
    31   135  6061.763  7268.000
    31   136  3750.056  3838.000
    31   137  4834.350  6835.000
    31   138  4191.783  4272.000
    31   139  2407.988  3267.000
    31   140  4174.167  5890.000
    31   141  4341.951  5620.000
    31   142  4283.135  5943.000
    31   143  7073.492  7962.000
    31   144  4284.671  6037.000
    31   145  3810.625  5361.000
    31   146  2787.645  3933.000
    31   147  5114.620  7224.000
    31   148  3230.576  4481.000
    31   149  4061.200  5686.000
    31   150  3100.782  3837.000
    31   151  3435.502  4606.000
    31   152  3306.013  4541.000
    31   153  5707.601  7746.000
    31   154  3964.999  4053.000
    31   155  7202.684  9220.000
    31   156  3421.912  4571.000
    31   157  4066.609  5716.000
    31   158  5507.541  6518.000
    31   159  5554.817  6308.000
    31   160  4817.558  6581.000
    31   161  5968.365  6034.000
    31   162  3204.499  4525.000
    31   163  4458.489  5705.000
    31   164  3468.632  4859.000
    31   165  5403.271  7184.000
    31   166  6661.038  8366.000
    31   167  3258.319  4403.000
    31   168  3664.640  5127.000
    31   169  5978.378  7340.000
    31   170  5715.061  6320.000
    31   171  5926.758  6730.000
    31   172  6544.542  8311.000
    31   173  3059.103  4323.000
    31   174  2787.442  3871.000
    31   175  2757.604  3899.000
    31   176  7568.215  9145.000
    31   177  4284.485  5346.000
    31   178  1028.584  1121.000
    31   179  1998.104  2122.000
    31   180  2212.675  3094.000
    31   181  2915.100  4017.000
    31   182   371.203   520.000
    31   183  1900.552  2686.000
    31   184  5300.873  5917.000
    31   185  5408.326  6981.000
    31   186  2351.537  3315.000
    31   187  2463.486  2739.000
    31   188  2521.412  3052.000
    31   189  1402.128  1982.000
    31   190  1490.867  2097.000
    31   191  1676.016  2370.000
    31   192   716.208   868.000
    31   193  2072.446  2922.000
    31   194  2115.340  2739.000
    31   195  2192.833  3086.000
    31   196  1940.841  2683.000
    31   197  3421.834  3744.000
    31   198  2209.918  3125.000
    31   199  4349.299  5413.000
    31   200  3704.818  4811.000
    31   201  2985.339  3732.000
    31   202  3365.409  4710.000
    31   203  2449.059  3432.000
    31   204  2986.304  3306.000
    31   205   286.295   387.000
    31   206  3442.570  4183.000
    31   207  2142.630  3029.000
    31   208  2735.992  2970.000
    31   209  4149.306  5357.000
    31   210   322.816   456.000
    31   211  3283.054  4341.000
    31   212  3789.630  4204.000
    31   213  2855.031  3061.000
    31   214  2153.923  2949.000
    31   215  3367.124  3799.000
    31   216  1907.555  2121.000
    31   217  1381.611  1952.000
    31   218  3333.276  4418.000
    31   219  1494.880  1919.000
    31   220  3797.177  4325.000
    31   221  3715.288  4920.000
    31   222  2690.637  3444.000
    31   223  4083.587  4960.000
    31   224  3335.416  4400.000
    31   225  3757.919  4714.000
    31   226  1812.186  2550.000
    31   227  2861.442  4020.000
    31   228  1823.677  2463.000
    31   229  2024.927  2196.000
    31   230  3433.059  4644.000
    31   231  1195.845  1669.000
    31   232  5282.772  6021.000
    31   233  3205.720  4178.000
    31   234  4299.205  4893.000
    31   235  3797.907  4810.000
    31   236  2565.208  2922.000
    31   237  1069.847  1145.000
    31   238  3445.079  3627.000
    31   239  3796.584  5345.000
    31   240  3149.747  3653.000
    31   241  4031.649  5381.000
    31   242  2606.494  3582.000
    31   243  2912.232  3984.000
    31   244  1566.534  1947.000
    31   245  2057.470  2871.000
    31   246  2714.221  3802.000
    31   247  3016.017  3026.000
    31   248  2614.079  3696.000
    31   249  1065.031  1478.000
    31   250   916.778  1192.000
    32    33  1735.553  2447.000
    32    34   656.220   867.000
    32    35  1158.750  1299.000
    32    36  1441.080  1715.000
    32    37  1537.432  2170.000
    32    38  1369.310  1618.000
    32    39  1573.445  1894.000
    32    40  2892.075  3266.000
    32    41  1672.343  1738.000
    32    42  3048.302  4190.000
    32    43  1691.476  1822.000
    32    44  1254.523  1766.000
    32    45  1919.810  2227.000
    32    46  1361.894  1926.000
    32    47  1370.221  1534.000
    32    48   998.301  1371.000
    32    49  1323.081  1732.000
    32    50  1487.601  2083.000
    32    51  3405.473  4609.000
    32    52  1167.953  1645.000
    32    53  1460.693  2053.000
    32    54  2325.446  2887.000
    32    55   547.848   757.000
    32    56   413.165   583.000
    32    57  3286.124  4384.000
    32    58  1456.187  1984.000
    32    59  2116.530  2864.000
    32    60  2481.546  2817.000
    32    61  1493.193  1517.000
    32    62  1600.058  1791.000
    32    63  2521.481  3343.000
    32    64  3521.902  4100.000
    32    65  1095.965  1314.000
    32    66  1286.350  1784.000
    32    67  1870.225  1899.000
    32    68  1953.382  2759.000
    32    69   533.634   559.000
    32    70  1992.565  2178.000
    32    71  1317.198  1490.000
    32    72  3103.377  3640.000
    32    73  1638.996  2237.000
    32    74  1627.440  2249.000
    32    75   195.788   245.000
    32    76  4753.626  4909.000
    32    77  1043.173  1297.000
    32    78  3105.784  4304.000
    32    79  4313.444  4616.000
    32    80  4468.480  4582.000
    32    81  7028.981  9105.000
    32    82  4225.994  4445.000
    32    83  2236.002  2239.000
    32    84  1703.775  2094.000
    32    85  1387.950  1707.000
    32    86  2705.139  3724.000
    32    87  3852.123  3944.000
    32    88  4020.097  5272.000
    32    89  1513.993  2076.000
    32    90  1926.262  2153.000
    32    91  1331.069  1881.000
    32    92  4131.058  5668.000
    32    93   706.117   799.000
    32    94  3632.575  5022.000
    32    95  2783.371  3672.000
    32    96  2923.327  3078.000
    32    97  4178.485  4421.000
    32    98  3034.987  4292.000
    32    99  5089.317  6341.000
    32   100  3541.892  3820.000
    32   101  1531.873  2018.000
    32   102  4126.315  4177.000
    32   103  1449.380  1879.000
    32   104  1638.800  2301.000
    32   105  1855.319  2558.000
    32   106  2145.006  2854.000
    32   107  1241.050  1669.000
    32   108  2398.305  2821.000
    32   109   984.358  1104.000
    32   110  2882.334  3036.000
    32   111  1692.544  2319.000
    32   112  2268.922  2727.000
    32   113  2501.571  3005.000
    32   114  2092.601  2720.000
    32   115  3932.149  4162.000
    32   116  4638.622  5217.000
    32   117  5373.002  6648.000
    32   118  5580.866  5809.000
    32   119  1743.158  2064.000
    32   120  3791.191  4252.000
    32   121  3904.722  5296.000
    32   122  4139.904  4757.000
    32   123  2983.411  4188.000
    32   124  1031.987  1137.000
    32   125  1926.262  2153.000
    32   126  2701.782  3196.000
    32   127  2174.931  2562.000
    32   128   674.414   842.000
    32   129  2432.224  2465.000
    32   130  2845.742  3572.000
    32   131  4540.268  5508.000
    32   132  4901.416  6488.000
    32   133  3306.259  3667.000
    32   134  2374.192  3137.000
    32   135  4347.146  5920.000
    32   136  1767.462  2312.000
    32   137  2915.244  3947.000
    32   138  2184.502  2762.000
    32   139  1654.558  2309.000
    32   140  3962.404  4542.000
    32   141  3034.912  4272.000
    32   142  4335.292  4595.000
    32   143  4894.422  5074.000
    32   144  3714.122  4689.000
    32   145  3284.440  4013.000
    32   146  2601.049  2617.000
    32   147  3296.350  4336.000
    32   148  1171.857  1593.000
    32   149  2014.727  2798.000
    32   150  1841.242  2489.000
    32   151  1222.851  1718.000
    32   152  1180.600  1653.000
    32   153  3496.445  4858.000
    32   154  1967.607  2527.000
    32   155  4949.068  6332.000
    32   156  1202.200  1683.000
    32   157  2062.448  2828.000
    32   158  3783.007  5170.000
    32   159  3377.274  3420.000
    32   160  3784.833  5233.000
    32   161  3939.720  4686.000
    32   162  1617.124  1637.000
    32   163  2204.887  2817.000
    32   164  2935.417  3511.000
    32   165  3164.897  4296.000
    32   166  5066.147  7018.000
    32   167  1071.295  1515.000
    32   168  1637.437  2239.000
    32   169  3737.072  4452.000
    32   170  3830.358  4972.000
    32   171  4087.150  5382.000
    32   172  4994.376  6963.000
    32   173  1314.151  1435.000
    32   174   815.444   983.000
    32   175  2682.056  2807.000
    32   176  5333.827  6257.000
    32   177  4946.292  5740.000
    32   178  2702.384  3815.000
    32   179  3561.490  5010.000
    32   180  2110.085  2420.000
    32   181  3292.247  3815.000
    32   182  2610.638  3408.000
    32   183  2187.961  2790.000
    32   184  6204.468  7491.000
    32   185  5826.099  6013.000
    32   186  2318.320  2623.000
    32   187  3697.740  5041.000
    32   188   369.400   496.000
    32   189  2049.334  2828.000
    32   190  1960.174  2669.000
    32   191  2143.572  2854.000
    32   192  2966.853  3756.000
    32   193  2185.529  2660.000
    32   194  3980.211  5627.000
    32   195  2571.214  3194.000
    32   196  1885.962  2309.000
    32   197  4844.324  6632.000
    32   198  2371.893  2845.000
    32   199  5013.417  5809.000
    32   200  4279.237  4963.000
    32   201  3829.001  4862.000
    32   202  5393.074  7598.000
    32   203  2259.330  2422.000
    32   204   952.135  1280.000
    32   205  2537.490  3275.000
    32   206  1221.367  1295.000
    32   207  2413.773  2971.000
    32   208  3965.243  5368.000
    32   209  4689.465  5283.000
    32   210  2543.680  3344.000
    32   211  3842.153  4535.000
    32   212  1678.754  1976.000
    32   213   916.830  1285.000
    32   214  4148.060  5837.000
    32   215  4425.691  5759.000
    32   216  3549.073  5009.000
    32   217  3536.824  4840.000
    32   218  5170.360  7306.000
    32   219  2699.691  3775.000
    32   220  4781.191  6071.000
    32   221  4192.315  4732.000
    32   222  3514.061  4506.000
    32   223  4859.128  5846.000
    32   224  3896.437  4588.000
    32   225  4464.690  5342.000
    32   226  2046.000  2632.000
    32   227  3031.129  3352.000
    32   228  3806.119  5351.000
    32   229  3611.589  5084.000
    32   230  3833.277  4304.000
    32   231  1862.964  2615.000
    32   232  6135.457  7311.000
    32   233  3847.909  4648.000
    32   234  5233.452  6497.000
    32   235  4463.335  5278.000
    32   236  3732.219  5038.000
    32   237  2863.038  4033.000
    32   238  1444.844  1905.000
    32   239  5851.761  8233.000
    32   240  4175.763  5437.000
    32   241  4418.519  4773.000
    32   242  3091.385  3758.000
    32   243  3347.321  3932.000
    32   244  3425.048  4835.000
    32   245  2018.880  2415.000
    32   246  2974.153  3416.000
    32   247  4343.061  5914.000
    32   248  2588.240  2808.000
    32   249  3297.347  4366.000
    32   250  2405.280  3398.000
    33    34  2021.665  2778.000
    33    35  2559.549  3446.000
    33    36  2730.465  3548.000
    33    37  2151.414  2311.000
    33    38   851.284   873.000
    33    39  3146.332  4341.000
    33    40  2174.379  3075.000
    33    41  3123.363  4185.000
    33    42  3739.687  3999.000
    33    43  3052.554  3997.000
    33    44  1957.722  2277.000
    33    45  3173.744  4000.000
    33    46  2117.629  2441.000
    33    47  2737.500  3631.000
    33    48  2138.113  2784.000
    33    49  2482.812  3155.000
    33    50  2026.175  2152.000
    33    51  4140.958  4418.000
    33    52  2103.964  2596.000
    33    53  2047.751  2218.000
    33    54  1026.902  1384.000
    33    55  1662.510  2282.000
    33    56  1788.510  2408.000
    33    57  4092.271  4193.000
    33    58  2470.713  2999.000
    33    59  2194.522  2673.000
    33    60  1873.658  2626.000
    33    61  2945.045  3964.000
    33    62  2935.038  3830.000
    33    63  2386.372  3152.000
    33    64  2777.179  3909.000
    33    65  2444.125  3269.000
    33    66  2279.743  2803.000
    33    67  3287.112  4346.000
    33    68  2577.016  2586.000
    33    69  2137.275  3006.000
    33    70  1480.279  1987.000
    33    71  2860.009  3937.000
    33    72  1807.674  2261.000
    33    73  2599.330  3054.000
    33    74  2008.622  2058.000
    33    75  1557.666  2202.000
    33    76  5992.542  7040.000
    33    77  1029.984  1150.000
    33    78  3366.977  4495.000
    33    79  5670.237  7063.000
    33    80  5874.008  6799.000
    33    81  8598.648 11552.000
    33    82  5458.749  6442.000
    33    83  3728.760  4680.000
    33    84  1843.400  2285.000
    33    85  2763.282  3416.000
    33    86  3631.085  3915.000
    33    87  5127.720  6205.000
    33    88  5627.385  7719.000
    33    89  2102.049  2267.000
    33    90  3416.466  4600.000
    33    91  3061.495  4328.000
    33    92  5803.182  8115.000
    33    93  1482.431  1848.000
    33    94  5318.827  7469.000
    33    95  4412.918  6119.000
    33    96  4308.444  5525.000
    33    97  5559.765  6368.000
    33    98  4766.519  6739.000
    33    99  6714.170  8788.000
    33   100  4770.305  5687.000
    33   101  1953.454  2209.000
    33   102  5550.491  6522.000
    33   103   819.367  1010.000
    33   104  2336.553  2492.000
    33   105  3581.246  5005.000
    33   106  2375.456  3045.000
    33   107  1882.129  1904.000
    33   108  2166.823  3012.000
    33   109  1454.962  1599.000
    33   110  4170.846  5167.000
    33   111  3382.038  4766.000
    33   112  3809.218  5174.000
    33   113  2296.826  3196.000
    33   114  3718.099  5167.000
    33   115  5319.156  6135.000
    33   116  5767.515  6424.000
    33   117  6492.767  6839.000
    33   118  6952.845  7790.000
    33   119  1773.813  2255.000
    33   120  5330.453  6699.000
    33   121  5560.539  7743.000
    33   122  5580.273  7204.000
    33   123  3385.252  4379.000
    33   124  1212.299  1310.000
    33   125  3416.466  4600.000
    33   126  4005.774  4541.000
    33   127  3786.392  5009.000
    33   128  1591.083  1999.000
    33   129  3808.084  4912.000
    33   130  2693.679  3763.000
    33   131  6039.367  7955.000
    33   132  5852.000  6679.000
    33   133  4844.660  6114.000
    33   134  2513.771  3328.000
    33   135  6059.104  8367.000
    33   136  3460.489  4759.000
    33   137  3057.824  4138.000
    33   138  3848.006  5209.000
    33   139   414.695   570.000
    33   140  5403.721  6989.000
    33   141  4753.667  6719.000
    33   142  5681.161  7042.000
    33   143  6281.491  7155.000
    33   144  5275.295  7136.000
    33   145  4813.809  6460.000
    33   146  3950.095  5032.000
    33   147  3242.989  4527.000
    33   148  1889.809  1990.000
    33   149  2507.828  2989.000
    33   150  3513.799  4936.000
    33   151  2306.546  2645.000
    33   152  2036.330  2212.000
    33   153  4292.002  5049.000
    33   154  3645.505  4974.000
    33   155  6000.982  6523.000
    33   156  2317.026  2688.000
    33   157  2461.468  3019.000
    33   158  5498.826  7617.000
    33   159  4819.714  5781.000
    33   160  5470.592  7680.000
    33   161  5529.544  7133.000
    33   162  1425.497  1828.000
    33   163  3418.093  3784.000
    33   164  4449.401  5958.000
    33   165  4113.720  4487.000
    33   166  6791.646  9465.000
    33   167  2115.679  2458.000
    33   168  2162.133  2430.000
    33   169  4979.683  5295.000
    33   170  5500.993  7419.000
    33   171  5769.690  7829.000
    33   172  6724.637  9410.000
    33   173  1457.160  1626.000
    33   174  1545.738  1844.000
    33   175  3988.951  4998.000
    33   176  6554.857  6660.000
    33   177  6013.710  6445.000
    33   178  3005.144  3624.000
    33   179  4000.874  4819.000
    33   180  3357.804  4193.000
    33   181  4433.217  5116.000
    33   182  2387.867  3217.000
    33   183  3246.616  3785.000
    33   184  7159.408  7300.000
    33   185  7042.091  8080.000
    33   186  3563.567  4414.000
    33   187  4373.371  4850.000
    33   188  2096.100  2943.000
    33   189  2867.606  3081.000
    33   190  2859.624  3196.000
    33   191  3092.372  3469.000
    33   192  2553.640  3565.000
    33   193  3336.495  4021.000
    33   194  4174.284  5436.000
    33   195  3642.268  4185.000
    33   196  3065.081  3782.000
    33   197  5423.730  6441.000
    33   198  3527.456  4224.000
    33   199  6081.450  6512.000
    33   200  5371.224  5910.000
    33   201  4751.673  4831.000
    33   202  5387.148  7407.000
    33   203  3571.227  4531.000
    33   204  2670.338  3727.000
    33   205  2288.171  3084.000
    33   206  2747.389  3590.000
    33   207  3519.146  4128.000
    33   208  4656.076  5177.000
    33   209  5814.138  6456.000
    33   210  2366.226  3153.000
    33   211  4922.598  5440.000
    33   212  3304.087  4423.000
    33   213  2651.445  3732.000
    33   214  4203.829  5646.000
    33   215  5243.712  5568.000
    33   216  3928.351  4818.000
    33   217  3392.449  4649.000
    33   218  5391.998  7115.000
    33   219  3313.109  3584.000
    33   220  5656.597  5880.000
    33   221  5331.465  6019.000
    33   222  4430.467  4543.000
    33   223  5860.482  6059.000
    33   224  4978.584  5499.000
    33   225  5491.984  5813.000
    33   226  3104.326  3649.000
    33   227  4254.179  5119.000
    33   228  3879.439  5160.000
    33   229  4035.308  4893.000
    33   230  4994.938  5743.000
    33   231  2601.692  2768.000
    33   232  7120.000  7120.000
    33   233  4884.239  5277.000
    33   234  6151.004  6306.000
    33   235  5513.341  5909.000
    33   236  4453.193  4847.000
    33   237  3091.982  3842.000
    33   238  3146.808  4352.000
    33   239  5799.113  8042.000
    33   240  5005.098  5246.000
    33   241  5611.823  6480.000
    33   242  4161.445  4681.000
    33   243  4462.733  5083.000
    33   244  3620.433  4644.000
    33   245  3217.691  3970.000
    33   246  4148.520  4901.000
    33   247  4980.148  5723.000
    33   248  3862.688  4795.000
    33   249  3007.084  4175.000
    33   250  2786.892  3207.000
    34    35   562.516   668.000
    34    36   809.940   848.000
    34    37   978.749  1303.000
    34    38  1385.173  1949.000
    34    39  1125.515  1563.000
    34    40  2603.464  2793.000
